unix,date,symbol,open,high,low,close
1694131200,08.09.23 00:00,FTT/USD,0.55536,0.55536,0.55493,0.55493
1694127600,07.09.23 23:00,MATIC/USD,0.55678,0.55678,0.55301,0.55503
1694124000,07.09.23 22:00,MATIC/USD,0.55502,0.55707,0.55409,0.55707
1694120400,07.09.23 21:00,MATIC/USD,0.55389,0.5594,0.55365,0.55489
1694116800,07.09.23 20:00,MATIC/USD,0.55213,0.55273,0.55062,0.55273
1694113200,07.09.23 19:00,MATIC/USD,0.55084,0.55142,0.55052,0.55141
1694109600,07.09.23 18:00,MATIC/USD,0.55489,0.55489,0.55086,0.55236
1694106000,07.09.23 17:00,MATIC/USD,0.55275,0.55468,0.55145,0.55468
1694102400,07.09.23 16:00,MATIC/USD,0.55268,0.55659,0.55268,0.5545
1694098800,07.09.23 15:00,MATIC/USD,0.55225,0.5543,0.55135,0.55244
1694095200,07.09.23 14:00,MATIC/USD,0.55186,0.55269,0.55143,0.55269
1694091600,07.09.23 13:00,MATIC/USD,0.55427,0.5548,0.55251,0.55333
1694088000,07.09.23 12:00,MATIC/USD,0.55428,0.5549,0.55205,0.55205
1694084400,07.09.23 11:00,MATIC/USD,0.55532,0.55532,0.55376,0.55448
1694080800,07.09.23 10:00,MATIC/USD,0.55706,0.55756,0.55542,0.55613
1694077200,07.09.23 09:00,MATIC/USD,0.55929,0.5597,0.5586,0.5586
1694073600,07.09.23 08:00,MATIC/USD,0.56207,0.56207,0.56207,0.56207
1694070000,07.09.23 07:00,MATIC/USD,0.56217,0.56217,0.56207,0.56207
1694066400,07.09.23 06:00,MATIC/USD,0.56141,0.56141,0.56141,0.56141
1694062800,07.09.23 05:00,MATIC/USD,0.56145,0.56157,0.56145,0.56157
1694059200,07.09.23 04:00,MATIC/USD,0.56336,0.56336,0.56103,0.56103
1694055600,07.09.23 03:00,MATIC/USD,0.56084,0.56084,0.56084,0.56084
1694052000,07.09.23 02:00,MATIC/USD,0.5608,0.56084,0.5608,0.56084
1694048400,07.09.23 01:00,MATIC/USD,0.56015,0.56015,0.55879,0.55996
1694044800,07.09.23 00:00,MATIC/USD,0.55898,0.5599,0.55872,0.55872
1694041200,06.09.23 23:00,MATIC/USD,0.5587,0.5596,0.55857,0.55894
1694037600,06.09.23 22:00,MATIC/USD,0.55883,0.5592,0.55761,0.55826
1694034000,06.09.23 21:00,MATIC/USD,0.55595,0.5587,0.55585,0.5587
1694030400,06.09.23 20:00,MATIC/USD,0.55548,0.55549,0.5534,0.55388
1694026800,06.09.23 19:00,MATIC/USD,0.55194,0.55427,0.55194,0.55378
1694023200,06.09.23 18:00,MATIC/USD,0.55485,0.55485,0.55081,0.55333
1694019600,06.09.23 17:00,MATIC/USD,0.5468,0.56213,0.54406,0.5593
1694016000,06.09.23 16:00,MATIC/USD,0.54786,0.54884,0.54681,0.54858
1694012400,06.09.23 15:00,MATIC/USD,0.54712,0.55066,0.54572,0.54794
1694008800,06.09.23 14:00,MATIC/USD,0.5518,0.55215,0.54742,0.54805
1694005200,06.09.23 13:00,MATIC/USD,0.55429,0.55569,0.5525,0.55435
1694001600,06.09.23 12:00,MATIC/USD,0.55272,0.55406,0.55272,0.55371
1693998000,06.09.23 11:00,MATIC/USD,0.55341,0.55494,0.55328,0.55328
1693994400,06.09.23 10:00,MATIC/USD,0.55654,0.55654,0.55478,0.55478
1693990800,06.09.23 09:00,MATIC/USD,0.55574,0.55574,0.55485,0.55485
1693987200,06.09.23 08:00,MATIC/USD,0.55668,0.55731,0.55622,0.55705
1693983600,06.09.23 07:00,MATIC/USD,0.5568,0.5568,0.5568,0.5568
1693980000,06.09.23 06:00,MATIC/USD,0.55752,0.55752,0.55747,0.55747
1693976400,06.09.23 05:00,MATIC/USD,0.56094,0.56094,0.55861,0.55871
1693972800,06.09.23 04:00,MATIC/USD,0.56399,0.56399,0.5631,0.5631
1693969200,06.09.23 03:00,MATIC/USD,0.56617,0.56672,0.56329,0.56399
1693965600,06.09.23 02:00,MATIC/USD,0.56288,0.56783,0.56276,0.56766
1693962000,06.09.23 01:00,MATIC/USD,0.5599,0.56299,0.55949,0.56299
1693958400,06.09.23 00:00,MATIC/USD,0.5587,0.56074,0.55672,0.559
1693954800,05.09.23 23:00,MATIC/USD,0.55874,0.55886,0.55792,0.55847
1693951200,05.09.23 22:00,MATIC/USD,0.55781,0.5589,0.55748,0.55838
1693947600,05.09.23 21:00,MATIC/USD,0.55689,0.55825,0.55689,0.55765
1693944000,05.09.23 20:00,MATIC/USD,0.55819,0.5589,0.55499,0.55579
1693940400,05.09.23 19:00,MATIC/USD,0.56047,0.56107,0.55886,0.55887
1693936800,05.09.23 18:00,MATIC/USD,0.56093,0.56153,0.55912,0.56055
1693933200,05.09.23 17:00,MATIC/USD,0.55843,0.56203,0.55778,0.5616
1693929600,05.09.23 16:00,MATIC/USD,0.56063,0.56101,0.55765,0.55944
